function	arguments	platform	pure_rust	ulp	classification
acos	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
acos	0000000000000000	3ff921fb54442d18	3ff921fb54442d18	0	exact
acos	8000000000000000	3ff921fb54442d18	3ff921fb54442d18	0	exact
acos	7ff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
acos	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
acos	0000000000000001	3ff921fb54442d18	3ff921fb54442d18	0	ordinary
acos	7fefffffffffffff	7ff8000000000000	7ff8000000000000	0	exact
acos	bff0000000000000	400921fb54442d18	400921fb54442d18	0	ordinary
acos	3ff0000000000000	0000000000000000	0000000000000000	0	exact
acos	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
acos	4000000000000000	7ff8000000000000	7ff8000000000000	0	exact
acos	3fe6666666666666	3fe973e83f5d5c9b	3fe973e83f5d5c9b	0	ordinary
acos	3ffb333333333333	7ff8000000000000	7ff8000000000000	0	exact
acos	bfe6666666666666	4002c501446cd5f1	4002c501446cd5f2	1	ordinary
acos	3bc79ca10c924223	3ff921fb54442d18	3ff921fb54442d18	0	ordinary
acos	4415af1d78b58c40	7ff8000000000000	7ff8000000000000	0	exact
acos	400921fb54442d18	7ff8000000000000	7ff8000000000000	0	exact
acos	3fefffffffffffff	3e50000000000000	3e50000000000000	0	ordinary
acos	3ff0000000000001	7ff8000000000000	7ff8000000000000	0	exact
acosh	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
acosh	0000000000000000	7ff8000000000000	7ff8000000000000	0	exact
acosh	8000000000000000	7ff8000000000000	7ff8000000000000	0	exact
acosh	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
acosh	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
acosh	0000000000000001	7ff8000000000000	7ff8000000000000	0	exact
acosh	7fefffffffffffff	7ff0000000000000	408633ce8fb9f87d	4569407809653180291	known-platform-overflow
acosh	bff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
acosh	3ff0000000000000	0000000000000000	0000000000000000	0	exact
acosh	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
acosh	4000000000000000	3ff5124271980434	3ff5124271980434	0	ordinary
acosh	3fe6666666666666	7ff8000000000000	7ff8000000000000	0	exact
acosh	3ffb333333333333	3ff1f8c10d010fe6	3ff1f8c10d010fe6	0	ordinary
acosh	bfe6666666666666	7ff8000000000000	7ff8000000000000	0	exact
acosh	3bc79ca10c924223	7ff8000000000000	7ff8000000000000	0	exact
acosh	4415af1d78b58c40	40475f57369e9343	40475f57369e9343	0	ordinary
acosh	400921fb54442d18	3ffcfc02f90106c2	3ffcfc02f90106c1	1	ordinary
acosh	3fefffffffffffff	7ff8000000000000	7ff8000000000000	0	exact
acosh	3ff0000000000001	3e56a09e67ffffff	3e56a09e667f3bcd	25216050	known-platform-cancellation
asin	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
asin	0000000000000000	0000000000000000	0000000000000000	0	exact
asin	8000000000000000	8000000000000000	8000000000000000	0	exact
asin	7ff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
asin	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
asin	0000000000000001	0000000000000001	0000000000000001	0	ordinary
asin	7fefffffffffffff	7ff8000000000000	7ff8000000000000	0	exact
asin	bff0000000000000	bff921fb54442d18	bff921fb54442d18	0	ordinary
asin	3ff0000000000000	3ff921fb54442d18	3ff921fb54442d18	0	ordinary
asin	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
asin	4000000000000000	7ff8000000000000	7ff8000000000000	0	exact
asin	3fe6666666666666	3fe8d00e692afd95	3fe8d00e692afd95	0	ordinary
asin	3ffb333333333333	7ff8000000000000	7ff8000000000000	0	exact
asin	bfe6666666666666	bfe8d00e692afd95	bfe8d00e692afd95	0	ordinary
asin	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
asin	4415af1d78b58c40	7ff8000000000000	7ff8000000000000	0	exact
asin	400921fb54442d18	7ff8000000000000	7ff8000000000000	0	exact
asin	3fefffffffffffff	3ff921fb50442d18	3ff921fb50442d18	0	ordinary
asin	3ff0000000000001	7ff8000000000000	7ff8000000000000	0	exact
asinh	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
asinh	0000000000000000	0000000000000000	0000000000000000	0	exact
asinh	8000000000000000	8000000000000000	8000000000000000	0	exact
asinh	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
asinh	fff0000000000000	fff0000000000000	fff0000000000000	0	exact
asinh	0000000000000001	0000000000000001	0000000000000001	0	ordinary
asinh	7fefffffffffffff	7ff0000000000000	408633ce8fb9f87d	4569407809653180291	known-platform-overflow
asinh	bff0000000000000	bfec34366179d427	bfec34366179d427	0	ordinary
asinh	3ff0000000000000	3fec34366179d427	3fec34366179d427	0	ordinary
asinh	c000000000000000	bff719218313d087	bff719218313d087	0	ordinary
asinh	4000000000000000	3ff719218313d087	3ff719218313d087	0	ordinary
asinh	3fe6666666666666	3fe4e2a4fe9085dd	3fe4e2a4fe9085dd	0	ordinary
asinh	3ffb333333333333	3ff4d0291473fd4a	3ff4d0291473fd4a	0	ordinary
asinh	bfe6666666666666	bfe4e2a4fe9085dd	bfe4e2a4fe9085dd	0	ordinary
asinh	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
asinh	4415af1d78b58c40	40475f57369e9343	40475f57369e9343	0	ordinary
asinh	400921fb54442d18	3ffdcbf69f10006d	3ffdcbf69f10006d	0	ordinary
asinh	3fefffffffffffff	3fec34366179d426	3fec34366179d426	0	ordinary
asinh	3ff0000000000001	3fec34366179d428	3fec34366179d428	0	ordinary
atan	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
atan	0000000000000000	0000000000000000	0000000000000000	0	exact
atan	8000000000000000	8000000000000000	8000000000000000	0	exact
atan	7ff0000000000000	3ff921fb54442d18	3ff921fb54442d18	0	exact
atan	fff0000000000000	bff921fb54442d18	bff921fb54442d18	0	exact
atan	0000000000000001	0000000000000001	0000000000000001	0	ordinary
atan	7fefffffffffffff	3ff921fb54442d18	3ff921fb54442d18	0	ordinary
atan	bff0000000000000	bfe921fb54442d18	bfe921fb54442d18	0	ordinary
atan	3ff0000000000000	3fe921fb54442d18	3fe921fb54442d18	0	ordinary
atan	c000000000000000	bff1b6e192ebbe45	bff1b6e192ebbe44	1	ordinary
atan	4000000000000000	3ff1b6e192ebbe45	3ff1b6e192ebbe44	1	ordinary
